Subject;Author;Date;Time;HTML Article
Mestarit jälleen areenalla kinkun täyteisinä;Mikko Kuusio;2001-01-19;23:55:18;<p>Hellou kyykkäkansa!<br> <br>Vaikka kaikki odottavatkin jo ensi viikonlopun NKL SuperWeekendiä ja massiivista annosta maailman parasta kyykkäviihdettä, löytyy areenalta tänään kaksi varsin kiinnostavaa ottelua. Illan pääkamppailuna ITKK-99 vs. LMTVO klo 18 alkaen, mutta myös jännitettävää riittää paljon ottelussa OlPo vs. TPNMP.</p><p><br></p><p>Jälkimmäisen pelin jännitehän on se, että pääseekö tulokasjoukkue OlPo alle sadan pisteen maagisen rajan hyvien harjoitustulosten ansiosta.</p><p><br></p><p>Areenan lähettyvillä on liikkunut huhuja LMTVO:n kovasta joulukunnosta ja Mestarit ovat kunnioittaneet huhujen mukaan lajia koko joukkueen voimin<br>ryyppämällä ammattilaisten tavoin viimeisen seitsemän päivän aikana.</p><p><br></p><p>Tulkaa siis kaikki katsomaan onko Mestareille noussut neste hattuun vai pysyytyykö ITKK-99 taltuttamaan eläimellisen Luolamieslauman. Joulupukki oli ITKK-99:lle armelias ja toi myös kauan kaivattuja kangasmerkkejä. Näitä 'fanituotteita' myydään molempien otteluiden aikana katsomossa huokeaan hintaan.</p><p><br></p><p>Kaikki siis nauttimaan kyykkäviihteestä klo 18 --> @Fartwall Areena.</p>
PKMM:n NKL-Superweekend fanikilpailu;Ilmari Laakkonen;2001-01-19;23:58:39;<p>Ensi lauantaina on NKL-superweekend, jolloin pelataan peräti 12 NKL-liigasarjan ottelua, Pikakyykkämetallimiehillä näistä kolme.</p><p><br></p><p>Lauantai pelataan cup-tyyppisenä, eli näiden otteluiden lisäksi on mahdollista olla vielä pari ottelua, joissa ratkotaan päivän mestari.</p><p><br></p><p>PKMM:llä on siis 3-5 ottelua lauantaina ja kilpailussa pitää arvata kuka pelaajistamme heittää parhaiten päivän aikana ja kuinka paljon ulosheitettyjä kyykkiä tilastoihin merkitään tälle pelaajalle.</p><p><br></p><p>Kilpailuun voivat osallistua ainoastaan NKL-faniklubin jäsenet ja vastaus kilpailuun on lähetettävä sähköpostilla osoitteeseen ilmarille@iki.fi viimeistään perjantaina.</p>
Joulutauko päättyy.;Sami Kontio;2001-01-19;23:37:33;<p>NKL ottelut jatkuvat taas ensi viikolla! Luvassa huikean jännittäviä otteluita nyt kun kenttäkin on talvilajille suotuisassa kunnossa.<br> <br>Liigan lisäksi 27.1. alkaa 1.divisioona, jonka ottelut pelataan kahtena peräkkäisenä lauantaina, 10 ottelua per päivä.<br> <br>Tule sinäkin jännittämään ja kannustamaan suosikkijoukkueesi voittoon!</p>
NKL-tehoviikonloppu;Jussi Ahonen;2001-01-19;23:44:52;<p>Ensi lauantaina räjähtää. Aamulla kello 10.00 pamahtaa käyntiin NKL-tehoviikonloppu, jossa jokainen NKL-joukkue pelaa. Aamupäivällä pelataan normaalisti NKL:n runkosarjan otteluita. Näistä peleistä laitetaan myös joukkueet paremmuusjärjestykseen ja iltapäivällä n. kello 14 alkaa cupin pudotuspelisessio, joten odotettavissa on totuttua kovaa NKL-kyykkää aamupäivällä ja vähintään yhtä kovia NKL-joukkueiden välisiä pudotuspelitaistoja iltapäivällä.</p><p><br></p><p>Jokainen itseäänkunnioittava fani saapuu<br>paikalle kymmeneltä kannustamaan omia idoleitaan ja hurraamaan hurjille hauille, juhlaville jouluheitoille ja komeille kaadoille. Tällaista viikonloppua et heti koe uutta. Tervetuloa seuraamaan kyykän todellista supertapahtumaa.</p><p><br></p><p>Turnaus on takuulla parasta maailmassa.</p>
OlPo:lle ensimmäinen sarjapiste.;NKL;2001-01-20;00:05:54;<p>Tulokasjoukkue OlPo on hakenut paikkaansa uudessa kovassa kaveripiirissään. Alkukauden näytöt ovat vielä antaneet odottaa itseään, mutta tänään meni kuparinen rikki.<br> <br>OlPo avasi pään pelaamalla tasatuloksen 56-56 TPNMP:a vastaan. Liiga onnittelee ekakerrasta ja toivottaa nousujohteista kautta.<br> <br>Koittihan sekin aika viimein että joukkue pääsi alle sadan pisteen, ja komeasti.</p>
NKL-Tehoviikonlopusta;Mikko Kuusio;2001-01-20;00:11:25;<p>Lohko 2 vaikuttaa varsin mielenkiintoiselta alkukauden esitysten perusteella. Lohkossa on 3 tappiotonta joukkuetta, vaikka TPNMP onkin taipunut kaksi kertaa tasapeliin alkukauden aikana. ITKK-99 ja PKMM ovat molemmat pelanneet 3 ensimmäistä otteluaan samoja joukkueita vastaan.</p><p><br></p><p>Molempien jyrän alle on jäänyt LSD, OlPo ja LMTVO. Ainoa 'selkeämpi' ero joukkueiden välillä on ollut ottelussa OlPoa vastaan, jonka PKMM voitti 10 pistettä paremmalla erolla. Luvassa siis kuoleman lohkossa tiukkoja kamppailuja kärkipään kesken.</p><p><br></p><p>PKMM lähtenee ennakkosuosikkina lauantain taisteluihin, mutta riittääkö Mestareiden kunto ja hermot möykkämiesten rynnistykseen. Millaisen mausteen sarjan tilanteeseen tuovat molempien ottelut Penttejä ja lohkon neljättä joukkuettä SMS:ää vastaan. Sen voit nähdä vain ensi lauantaina ja paikkahan on kyykkääjien Mekka eli Fartwall areena.</p>
ITKK-99 vs. LMTVO;Mikko Kuusio;2001-01-20;00:17:09;<p>Tiistai-iltana ITKK-99:n kotiluolaan olivat mönkineet omista luolistaan LMTVO:n pelaajat. Ottelu oli herättänyt paljon keskustelua joukkueiden välillä tuloksesta ja Mestareille kaavailtiin kauden ensimmäistä tappiota. Toisin kuitenkin kävi.</p><p><br></p><p>LMTVO:n pojat olivat unohtaneet ITKK-99:n savolaisen kyykäntappajan eli Mikko Kuokan. Kuokka oli ottelun hahmo hänelle normaalilla pistesaldolla 42.</p><p><br></p><p>Ottelu oli tasainen koko ajan, mistä kertoo tulos 33-43 (20-25). Kuokan lisäksi muut heittivät varsin omalla tasollaan ja ottelun iloinen yllättäjä oli Anssi Jääskeläinen joka alkaa kuntoutua omalle tasolleen oikeanlaidan tyhjentäjänä.</p><p><br></p><p>Haukisoppaakin saatiin ottelussa 8 kalan edestä ja tasaisuutta tässäkin kuvasi se että molemmat joukkueet heittivät siis 4 haukea. LMTVO tulee olemaan kova pala monelle joukkueelle tällä kaudella, vaikkakin OlPon tasapelin myötä he putosivatkin liigan jumboksi.</p><p><br></p><p>SuperWeekend tulee näyttämään LMTVO:nkin todellisen kunnon, joten jäämme odottelemaan mielenkiinnolla tulevaa</p>
PKMM-KCK 34-44;Sanna Venäläinen;2001-01-20;00:31:56;<p>KCK aloitti vuotensa pelillä Pikakyykkämetallimiehiä vastaan ja lopputulos oli suorastaan yllättävä.<br> <br>Ensimmäinen erä mentiin KCK:n heiluttaessa tahtipuikkoa, Hämäläisen onnistuminen ja PKMM:n 4 haukea sallivat KCK:n heittää 3 haukea ja tauolle mentiin johtolukemissa 26-20.</p><p><br></p><p>Toinen jakso alkoi bad fiilingeillä kun Venäläinen turasi aloituksessa vain yhden ulos ja toisella heitollaan kaksi. Myötätunnosta Hämäläinen heitti ulos yhden ja teki nollaheiton toisellaan.</p><p><br></p><p>PKMM:n aloitus sen sijaan oli mainio. KCK yritti pyristellä vielä peliin mukaan mutta ilmeisesti metalliäijöt olivat myyneet sielunsa tms. kun heittivät niin hyvin, erätulokseksi 8. KCK pääsi vain 24:ään. Haukia joukkueet heittivät yhtä paljon, 5. Ratkaisu löytyykin ulosheitetyistä kyykistä, löysä KCK heitti toisen erän keskiarvolla 1.56 kyykkää/karttu ja PKMM 2.06.</p><p><br></p><p>Onnittelut PKMM:lle, eilen olitte parempia.</p>
TietoEnator Cup;NKL;2001-01-20;00:56:00;<p style="color: red">TietoEnator<small><sub>vanha linkki</sub></small></p><p><br></p><p>Tämänpäiväinen NKL-SuperWeekend kulkee virallisesti nimellä TietoEnator-Cup.</p><p><br></p><p>TietoEnator toimii yhteistyökumppaninamme, ja on pääsponsorina tämänpäiväisessä urheilukarnevaalissa.</p><p><br></p><p>Yhteistyön hedelmänä liiga tulee ottamaan lähitulevaisuudessa käyttöön reaaliaikaisen tuloslaskennan. Tämä tarkoittaa sitä, että näiltä sivuilta voi seurata heitto heitolta kulloinkin käynnissä olevan pelin etenemistä.</p><p><br></p><p>Järjestelmän käyttöönotosta tiedotetaan välittömästi kun se valmistuu.</p>
Kyykka dot Com online;NKL;2001-01-20;02:01:16;<p>Tiukan rypistyksen jälkeen on <u>kyykka.com</u> näkyvillä juuri sopivasti ennen TietoEnator-Cupia</p><p><br></p><p>Sivut ovat hieman keskeneräiset, mutta kuitenkin niin valmiit että ne on nyt tuotu suuren yleisön käytettäviksi.</p><p><br></p><p>Kuten edellisessä <u>artikkelissa</u><small><sub>vanha linkki</sub></small> on mainittu, puuttuu näiltä sivuilta muutama eritäin tärkeä lähitulevaisuudessa tuleva ominaisuus. Näette tyhjät paikat näiden paikalla tällä hetkellä.</p><p><br></p><p>Näitä ominaisuuksia tulevat olemaan reaaliaikainen peliseuranta, satunnaisesti valitut pelaajastatistiikat, seuraavat pelit sekä luonnollisesti liiga- ja divaritilastot. Myös tuloslaskenta tulee siirtymään näiden sivujen alle.</p><p><br></p><p>Tällä välin teitä palvelee <u>vanha tuloslaskenta</u><small><sub>vanha linkki</sub></small></p><p><br></p><p>Näitä sivuja kannattaa katsoa siten, että olet sallinut selaimestasi tyylien (CSS) käytön. Ilman sitä saattaa lopputulos olla jotain vielä kauheampaa kuin sen olisi tarkoitus olla.</p><p><br></p><p>Niille jotka eivät asiasta ole vielä tietoisia, mainittakoon että nämä sivut on mahdollistanut liigan yhteistyö <u>Digia Oy</u><small><sub>vanha linkki</sub></small>:n kanssa. He sponsoroivat domainiamme.</p><p><br></p><p>Vastailkaa oheiseen pikakyselyymme ihan reiluna palautteena. Muistutamme, että sivut eivät ole vielä aivan valmiit, ja varsinkin ulkonäöllisiä muutoksia tulee varmasti tapahtumaan.</p><p><br></p><p>Toiveita ja kommentteja voi esittää allaolevaan osoitteeseen:</p><p><br></p><p><u>webmaster@kyykka.com</u></p>
KCK voittoon TE-Cupissa;NKL;2001-01-20;16:59:55;<p>Alkukaudesta haparoinut KCK kokosi itsensä ja pelasi voittoon TietoEnator-Cupissa.</p><p><br></p><p>Finaali SMS:n kanssa päättyi KCK:n selvään voittoon 36-51.</p><p><br></p><p>KCK pelasi luokattomasti verrattuna omaan tasoonsa, mutta näemmä sekin riitti jatkoon pääsyyn. Pudotuspeleissä KCK sitten nousikikin omalle tasolleen.</p><p><br></p><p>Jos KCK saa pidettyä korresta kiinni, ja pystyy palaamaan liigassakin omalla tasollaan, tulee se vielä kamppailemaan jatkopaikoista vakavasti.</p><p><br></p><p>Moinen pelitulos pistää mietityttämään, puristaako KCK karttua liikaa. Viime kauden ämmämäinen tappio ITKK-99:ä vastaan saattaa vaikuttaa vieläkin KCK:n pelaajien takaraivossa. Olisiko kuparinen viimeinkin mennyt rikki, ja KCK toteaisi oman arvonsa. Tämä jäänee loppuliigan peleissä havaittavaksi.</p><p><br></p><p>SMS pelasi hyvin, ja finaalipaikkakin oli aivan kunnioitettava. Valitettavasti se ei riittänyt tällä kertaa. Hopeatila tiukassa NKL-joukkueista koostuvassa cupissa ei todellakaan ole väheksyttävä suoritus. SMS:n pelaajista mainittakoon Tero 'Poro' Turtiainen, joka murskasi olemassaolevia piste-ennätyksiä omilla pelisuorituksillaan. ko. joukkue tulee olemaan kova luu vastustajilleen kuluvalla kaudella.</p>
Divarin alkulohkojen ohjelma;NKL;2001-01-22;20:53:13;<p>Divarin alkulohkot pelataan kahtena lauantaina. Lohko A pelaa ottelunsa 27.1. ja lohko B viikkoa myöhemmin, 3.2. Ottelut alkavat klo 10.00 ja joukkuetta kohden on neljä ottelua. Kahdella kentällä pelattuna lohko pitäisi olla paketissa kolmessa tunnissa.</p><p><br></p><p>Lohko A:n otteluohjelma on seuraavanlainen:</p><p><br></p><p><TABLE><TR><TD COLSPAN=3 ALIGN=center>Kenttä 1:</TD><TD COLSPAN=3 ALIGN=center>Kenttä 2:</TD></TR> <TR> <TD ALIGN=right>KÄN</TD><TD>-</TD><TD>FKL</TD> <TD ALIGN=right>KAK</TD><TD>-</TD><TD>VTTU</TD></TR><TR><TD ALIGN=right>KAK</TD><TD>-</TD><TD>FKL</TD><TD ALIGN=right>Kehir</TD><TD>-</TD><TD>VTTU</TD></TR><TR><TD ALIGN=right>KÄN</TD><TD>-</TD><TD>VTTU</TD><TD ALIGN=right>Kehir</TD><TD>-</TD><TD>KAK</TD></TR><TR><TD ALIGN=right>Kehir</TD><TD>-</TD><TD>FKL</TD><TD ALIGN=right>KÄN</TD><TD>-</TD><TD>KAK</TD></TR><TR><TD ALIGN=right>FKL</TD><TD>-</TD><TD>VTTU</TD><TD ALIGN=right>Kehir</TD><TD>-</TD><TD>KÄN</TD></TR></TABLE><br>Lohko B:n otteluohjelma viikkoa myöhemmin:</p><p><br></p><p><TABLE><TR><TD COLSPAN=3 ALIGN=center>Kenttä 1:</TD><TD COLSPAN=3 ALIGN=center>Kenttä 2:</TD></TR><TR><TD ALIGN=right>HaU</TD><TD>-</TD><TD>AMK</TD><TD ALIGN=right>PK-69</TD><TD>-</TD><TD>TPi</TD></TR><TR><TD ALIGN=right>PK-69</TD><TD>-</TD><TD>AMK</TD><TD ALIGN=right>kL</TD><TD>-</TD><TD>TPi</TD></TR><TR><TD ALIGN=right>HaU</TD><TD>-</TD><TD>TPi</TD><TD ALIGN=right>kL</TD><TD>-</TD><TD>PK-69</TD></TR><TR><TD ALIGN=right>kL</TD><TD>-</TD><TD>AMK</TD><TD ALIGN=right>HaU</TD><TD>-</TD><TD>PK-69</TD></TR><TR><TD ALIGN=right>AMK</TD><TD>-</TD><TD>TPi</TD><TD ALIGN=right>kL</TD><TD>-</TD><TD>HaU</TD></TR></TABLE><br>Alkuerien jälkeen divarin jatko-ottelut torstaisin kello 19.00 alkaen viikosta 6 lähtien.</p>
Pelisysteemi pähkinänkuoressa;Marko Parviainen;2001-01-22;21:00:19;<p><B>Liiga</B></p><p><br></p><p>Kahdeksan joukkuetta käsittävä Liiga pelaa yhdessä lohkossa kaksinkertaisen runkosarjan. Runkosarjan päätyttyä kaksi parhaiten sijoittunutta joukkuetta pääsee suoraan välieriin, ja kaksi huonoiten sijoittunutta ottelevat keskenään Divisioonakarsintaan joutumisesta. Sijoille 3-6 päätyneet joukkueet pelaavat keskenään pääsystä välieriin (3. vs 6. ja 4. vs 5.).Välierien otteluparit määräytyvät runkosarjan sijoitusten perusteella (paras vs huonoin). Lukuunottamatta ottelua karsijan paikalle joutumisesta, kaikki runkosarjan jälkeiset otteluparit toimivat paras kolmesta-systeemillä, eli kahdella voitolla jatkoon.</p><p><br></p><p><B>Divisioona</B></p><p><br></p><p>Lajin suuren ja yhä kasvavan suosion myötä NKL päätti luoda varsinaisen Liigan alle Divisioonajärjestelmän. Ensimmäinen Divisioonakausi toimii samalla rankingjärjestelmänä, eli kaikki pelaavat samalla sarjatasolla ja kauden päätyttyä jaetaan joukkueet sijoitustensa mukaan eri sarjaportaisiin. Yksi sarjaporras tulee sisältämään kuusi joukkuetta. Jokaisessa sarjaportaassa paras nousee ylempään Divisioonaan ja huonoin putoaa alempaan. Poikkeuksena I Divisioonan voittaja joka suorittaa karsinnan Liigan viimeiseksi sijoittuneen kanssa. Uudet joukkueet sijoitetaan automaattisesti alimpaan olemassaolevaan Divisioonaan ja jos joukkue luopuu paikastaan Divisioonassa, nostetaan alemmista portaista parhaiten sijottuneita tilalle.</p><p><br></p><p><B>Divisionaan pelisysteemi kaudella 2001</B></p><p><br></p><p>Divisioonan 10 joukkuetta pelaavat kahdessa lohkossa yksinkertaisen, lohkonsisäisen runkosarjan. Lohkojen voittajat pelaavat toisen lohkon kakkosia vastaan, panoksena pääsy Divisioonafinaaliin. Lohkoissaan sijoille 3-4 päätyneet joukkueet pelaavat vastaavalla periaatteella. Nyt voittajalle on tarjolla paikka I Divisioonasta, häviäjälle porrasta alempana. Kauteen kuuluu lisäksi kaksi rankingottelua, joissa II Divisioonaan päätyneet joukkueet määräävät keskinäisen paremmuutensa.</p>
